MM-YY,Period,Sales
Jul-09,1,3303
Aug-09,2,3360
Sep-09,3,3828
Oct-09,4,4257
Nov-09,5,5508
Dec-09,6,5205
Jan-10,7,5190
Feb-10,8,5058
Mar-10,9,5307
Apr-10,10,4563
May-10,11,4512
Jun-10,12,4434
Jul-10,13,4440
Aug-10,14,5178
Sep-10,15,5277
Oct-10,16,6411
Nov-10,17,7308
Dec-10,18,7275
Jan-11,19,7065
Feb-11,20,7497
Mar-11,21,7326
Apr-11,22,6207
May-11,23,5976
Jun-11,24,5874
Jul-11,25,5970
Aug-11,26,6666
Sep-11,27,7575
Oct-11,28,8367
Nov-11,29,9051
Dec-11,30,9696
Jan-12,31,9594
Feb-12,32,9084
Mar-12,33,8955
Apr-12,34,8235
May-12,35,8055
Jun-12,36,7767
